"protein__id","gene__name","lqf__Ampicillin__1","lqf__Ampicillin__2","lqf__Ampicillin__3","lqf__Cefotaxime__1","lqf__Cefotaxime__2","lqf__Cefotaxime__3","lqf__Impipenem__1","lqf__Impipenem__2","lqf__Impipenem__3","lqf__Ciprofloxacin__1","lqf__Ciprofloxacin__2","lqf__Ciprofloxacin__3","lqf__Control__1","lqf__Control__2","lqf__Control__3"
"P37744","rmlA1",27.6248,27.765,27.5508,28.0624,27.877,28.1821,28.0832,28.4456,27.6217,28.6102,28.4651,27.3117,28.1512,28.1926,28.1427
"P37745","rfbC",27.9601,27.7276,23.2414,24.1449,24.9271,27.6874,26.5753,26.5089,23.5063,27.5437,27.3148,24.5619,27.7626,27.5803,26.474
"P37747","glf",27.73,27.7076,27.7869,27.8575,28.2535,28.3487,28.0975,28.4647,28.0536,28.6681,28.385,28.3697,27.7455,28.0561,28.2584
"P37759","rfbB",28.1171,27.8706,27.9956,27.4307,26.768,27.6281,27.3301,27.5521,26.765,28.4972,28.4973,29.0064,27.4124,27.6489,27.7607
"P37765","rluB",23.745,23.4157,25.1719,25.3091,25.8799,24.8215,24.8493,24.7897,25.8034,25.6021,25.2193,25.5212,23.7933,25.7104,26.086
"P37769","kduD",31.4548,31.9782,31.1645,32.0656,31.4297,31.895,32.5975,32.7179,32.1272,32.3734,31.785,31.907,32.1369,32.4607,32.6582
"P37773","mpl",26.8428,27.3718,25.7786,26.8928,26.8479,26.6115,27.1484,27.3116,26.9974,27.2745,26.2804,26.388,26.5888,26.7631,27.6568
"P37902","gltI",29.8486,29.4052,29.8437,29.4868,29.568,29.7204,29.6874,30.1589,30.4323,28.0422,29.7021,29.4006,29.4678,29.3992,29.6374
"P37903","uspF",30.4478,29.3626,30.2079,29.896,30.3371,29.8405,29.9821,29.975,29.4451,28.6232,28.5829,25.2208,30.1673,29.7398,30.4111
"P38038","cysJ",27.685,27.865,27.6023,27.5942,27.242,28.1057,27.5978,27.5097,27.5429,28.7683,27.5116,28.2026,27.1962,27.239,27.7445
"P38489","nfsB",27.9129,28.5728,28.5513,28.8,28.5908,28.7556,28.9416,28.991,28.7356,29.0876,29.0675,29.0738,28.6182,28.8535,28.6886
"P39099","degQ",27.6657,27.394,27.0441,27.5143,27.0395,27.2542,26.8365,26.396,27.1186,27.1627,26.9014,27.0649,27.0486,27.5633,27.6861
"P39160","uxuB",27.8526,27.5931,26.7987,27.4504,26.8521,27.0254,27.8001,27.891,27.2763,27.6851,26.906,27.3704,28.1394,27.7439,27.5218
"P39173","yeaD",29.1051,29.2187,28.8482,28.8207,29.2434,29.4603,28.9374,29.1903,29.5368,29.0899,29.0102,28.8376,29.2156,29.2032,29.1941
"P39177","uspG",29.3614,30.2716,29.7505,29.6228,29.619,29.6484,30.863,30.1349,29.9401,29.602,29.9422,29.4509,29.9919,30.2648,30.7182
"P39180","flu",27.9523,25.4896,28.1147,28.2135,27.0129,28.383,27.395,28.879,29.6581,25.8441,25.35,23.9817,25.8926,28.6771,28.0975
"P39187","ytfJ",26.5139,26.062,27.0249,26.1439,26.3029,26.8964,26.5805,26.025,27.1986,25.3695,26.0165,25.9689,26.5361,26.3296,26.9695
"P39199","prmB",26.3153,27.7052,25.1857,27.2629,25.4171,26.9191,28.0672,28.1174,27.4613,27.7045,27.4107,26.8235,26.9148,27.7046,28.0914
"P39265","alsB",29.5254,29.7124,29.8501,29.777,30.0775,30.0767,29.8357,30.8961,30.5349,30.7877,29.6859,29.4338,29.0815,29.7721,29.3159
"P39286","rsgA",25.9932,24.2618,25.9442,25.5077,25.3152,25.3674,25.3528,25.8825,25.234,25.8352,25.9336,24.4837,25.8508,25.8486,25.5424
"P39325","ytfQ",29.3053,29.8032,29.512,29.9832,30.1371,29.9824,30.0967,30.8682,30.7485,28.0728,29.3448,28.4951,30.0424,30.0314,30.3035
"P39353","yjhC",24.1788,24.2389,23.6161,24.5107,24.2745,22.2399,24.4334,23.7267,26.0874,23.9788,25.171,24.9004,24.5495,24.6809,23.9256
"P39377","iadA",30.3918,30.3724,30.2492,30.8082,30.4851,31.0601,30.1359,29.8611,30.3825,29.0433,30.1296,29.7306,30.7346,30.8186,29.9248
"P39384","yjiM",24.8467,23.8302,25.2827,26.3617,25.5351,27.118,26.4564,26.8035,27.4167,27.3152,26.8578,26.7138,23.5117,24.9462,24.0859
"P39406","rsmC",26.6285,26.217,25.6315,26.0472,26.6103,26.683,25.9662,26.1777,25.941,26.1077,27.1092,24.6406,26.1391,23.497,26.5092
"P39831","ydfG",28.2439,28.6631,28.0552,28.6598,28.2612,29.329,28.5697,28.8033,28.3704,28.9274,28.4839,28.3304,28.5836,29.2174,28.7115
"P40120","mdoD",25.0657,26.1966,24.1726,25.2535,24.4144,25.6555,26.3247,25.996,26.4606,26.0834,26.0362,26.1856,25.0708,25.6668,26.4363
"P40191","pdxK",22.642,23.6727,24.991,24.191,22.7635,23.2146,25.015,24.1276,24.4811,24.2049,24.4462,24.3078,24.7492,24.2986,24.4078
"P40874","solA",25.6708,24.8041,25.6213,24.7937,25.744,25.7511,23.5824,24.8675,25.4,25.7996,25.0709,25.4841,24.8716,25.2506,25.3106
"P41407","azoR",27.3935,28.0854,27.2551,27.7334,24.5714,23.6781,26.9649,23.8443,23.5128,27.0426,27.6897,25.4347,24.4262,27.4693,27.0356
"P41409","rihA",28.1142,27.6777,28.1581,28.9896,28.5887,28.5652,28.7414,29.1082,29.1168,28.3214,28.2103,28.3886,28.0426,28.5714,28.5519
"P42620","yqjG",26.6155,26.2916,25.9123,26.1881,25.1719,25.0519,25.8087,26.4046,23.7046,24.7038,25.2317,23.899,26.1115,26.5331,26.7516
"P42632","tdcE",29.9293,30.1226,30.0611,30.488,30.325,30.4648,30.3072,30.2537,29.9485,31.7938,29.908,28.7777,29.8637,30.2539,30.0697
"P42641","obgE",25.679,27.1436,25.0787,26.4738,25.7323,26.4108,26.7985,26.2237,24.6026,26.5266,26.3532,26.0401,26.1558,26.3856,27.1538
"P45425","nanK",24.2878,26.9208,25.5353,26.1462,25.4407,25.9101,26.2447,26.5355,25.1983,26.2006,26.8789,26.9406,26.498,26.219,26.4079
"P45470","yhbO",27.2313,26.351,26.5136,26.3543,27.7292,26.8621,26.3786,26.6331,26.3794,24.6301,23.7238,24.3559,26.4705,26.7136,26.9457
"P45523","fkpA",31.2467,30.4886,31.4581,31.639,31.8605,31.1715,31.1649,31.4285,31.9796,31.0818,30.2696,30.2681,31.1161,30.8433,31.1202
"P45577","proQ",27.0816,26.4761,26.8838,27.1608,26.7288,27.5444,27.4438,27.1605,27.6258,27.7445,26.4868,26.8171,25.2811,26.7433,26.4708
"P45748","tsaC",25.3177,25.1742,23.6606,25.487,26.3606,26.0182,25.737,24.4834,25.1702,25.407,24.1387,23.965,24.8141,23.6266,24.5481
"P45799","nudE",24.8155,25.3032,24.4638,24.7677,22.82,24.1482,25.2467,25.6285,23.2351,25.7016,25.3858,25.3275,25.4796,24.4981,25.2389
"P45955","ybgF",26.3355,26.108,27.1497,27.3807,26.663,26.9436,27.0654,26.6518,27.0311,27.3336,26.3958,25.9047,25.9331,26.3766,26.3595
"P46837","yhgF",24.9575,25.517,26.185,25.5274,25.7533,25.0578,25.5463,24.9275,24.7314,25.5273,25.7767,25.2442,25.4154,24.4907,24.8725
"P46853","yhhX",27.4294,27.305,27.3428,27.3577,27.5183,26.3623,26.8035,27.1622,27.7833,27.0967,27.269,27.4225,26.7453,26.6913,27.3005
"P52007","yecM",25.9079,24.6376,26.3199,26.5969,24.7362,26.8419,26.7622,25.8854,26.6951,26.0901,25.7148,25.7871,26.5777,26.6469,26.0526
"P52061","rdgB",27.4861,26.5952,27.3404,26.5545,26.9607,27.1931,23.2657,26.3022,23.4697,27.157,27.5101,27.7268,26.5111,24.1823,26.5488
"P52643","ldhA",28.0256,27.7556,29.1649,28.69,28.7611,28.7915,28.2255,28.0315,27.8129,27.5522,28.0548,28.319,27.7068,28.4018,28.5428
"P52647","ydbK",25.7255,27.0535,25.7997,25.977,25.7948,26.0771,26.3471,26.597,23.6038,25.8766,26.2471,24.7401,25.5693,24.3197,26.7528
"P52697","pgl",29.2693,28.3746,28.9615,29.0902,29.1765,28.6882,28.115,27.9853,28.7921,28.5873,28.1642,27.6432,28.7246,28.4924,28.8112
"P56262","ysgA",26.8001,26.9982,25.6868,27.0934,24.8895,27.5741,27.8068,27.2915,27.5579,25.494,26.0302,25.9826,27.4007,27.613,27.7476
"P60240","rapA",27.1452,27.5865,26.8636,27.8879,27.0846,26.9138,27.8287,27.1115,26.1533,27.2635,27.2265,26.7888,27.2027,27.3301,27.8679
"P60340","truB",24.3696,24.4769,25.022,23.9633,23.442,23.6915,23.5538,23.6672,23.5199,23.4213,25.6097,23.7281,25.3563,24.1341,24.7041
"P60390","rsmH",23.3074,24.5782,25.2891,25.0916,25.2904,24.8044,25.4179,25.2776,25.3244,24.9197,25.6453,24.0685,24.7415,25.0452,25.8075
"P60422","rplB",32.2396,32.1743,33.2876,32.1474,32.5884,32.3063,31.881,31.9846,31.7591,32.7471,33.1887,33.2182,31.7015,32.296,32.3196
"P60438","rplC",31.7268,31.7652,31.9039,31.4992,31.7005,31.856,31.2054,31.1116,31.0212,32.1075,32.1711,32.419,31.3769,31.6428,31.3401
"P60546","gmk",26.9545,25.9845,26.9319,26.0185,26.4661,26.8785,25.7799,26.4039,25.454,26.6934,26.8754,27.0731,26.1354,25.7553,26.7766
"P60595","hisH",25.5102,26.5581,25.2534,23.1551,23.903,26.1223,24.3093,24.2843,22.953,25.6317,25.7311,25.5799,25.9064,24.1522,25.8195
"P60624","rplX",31.5416,31.2295,31.7135,31.5691,31.4694,31.5711,31.3105,31.4692,31.1851,32.4067,32.4353,32.9052,31.4144,31.4744,31.686
"P60651","speB",29.7193,29.6681,29.4914,30.2548,29.8404,29.4263,29.774,29.6037,29.8691,29.194,29.1037,28.9772,29.7639,29.8395,29.9111
"P60664","hisF",26.477,26.6461,25.4564,26.0765,25.7682,25.2078,25.5224,25.69,25.8065,24.7572,25.9504,22.8303,26.4164,25.4691,26.0029
"P60716","lipA",25.0058,25.079,23.7871,26.8118,27.6258,26.633,26.9858,26.1144,27.047,23.5578,24.8449,25.4029,23.7986,24.4206,26.1125
"P60723","rplD",31.2627,31.0943,31.5431,31.2798,31.1168,31.4564,30.6199,30.7704,31.0064,31.5788,31.0721,31.4144,30.4035,30.7651,30.5216
"P60757","hisG",27.7192,27.2659,25.9429,27.837,28.0403,27.1383,27.5353,27.2015,26.8385,26.9409,27.3179,27.4129,28.1561,27.324,27.2071
"P60785","lepA",25.869,26.6061,25.8713,25.8612,25.4957,24.4334,26.3569,26.0231,25.5473,25.8468,26.0635,25.993,27.0405,25.6004,26.1968
"P60906","hisS",28.4625,28.5608,28.7852,28.5832,27.9352,28.0757,28.3791,28.2126,27.8639,28.7396,28.5895,29.1433,28.5045,28.2921,28.6657
"P61175","rplV",31.5839,32.0919,31.4603,32.2344,32.1173,32.5114,32.1957,32.4129,32.2601,32.2631,32.4708,32.9192,32.8899,32.4341,32.7002
"P61316","lolA",25.9553,25.7015,26.4847,25.9511,23.8853,25.6949,25.8708,26.1421,26.2116,26.2695,26.1305,26.1511,25.1981,25.5206,26.2662
"P61517","can",27.761,27.4944,27.9705,28.2461,28.715,28.423,27.7735,27.6532,27.727,28.2128,28.8109,28.3539,27.311,27.8591,27.9443
"P61714","ribE",30.4829,30.6768,30.8653,31.5146,31.175,31.098,31.1976,30.8921,31.4219,31.3161,30.9048,30.8358,30.9742,31.1925,31.1221
"P61889","mdh",34.8562,34.8961,34.6175,34.6175,34.4519,34.7032,34.6687,34.8772,35.0364,34.9088,35.1089,35.0378,34.8854,34.7276,34.6108
"P61949","fldA",30.2784,29.3244,31.0573,29.92,31.4593,30.4578,28.893,28.8476,30.0718,29.3077,29.3586,28.6098,29.8648,29.3134,28.8891
"P62399","rplE",32.982,33.1443,33.3969,33.7193,33.1778,33.8218,33.6573,33.5594,33.1013,33.97,33.8251,33.7133,33.2699,33.502,33.4786
"P62617","ispF",25.2479,25.4511,24.1048,26.6508,23.7866,24.4754,26.036,25.833,25.0405,26.0544,23.2768,24.504,26.1442,24.1556,25.233
"P62620","ispG",25.6725,26.9465,23.917,26.1284,26.1615,26.0167,26.9079,26.906,25.8203,26.8895,27.0055,26.5713,23.3826,25.9121,26.0614
"P62707","gpmA",32.2336,32.4497,32.4299,31.7742,32.379,31.8593,31.8346,31.837,31.8853,31.7068,32.2911,32.3375,31.7481,31.9476,32.2113
"P62768","yaeH",26.5983,27.0249,26.8371,25.7619,25.201,26.1926,27.1331,26.5902,26.3131,26.9392,26.3984,24.9549,26.6071,26.3815,27.3416
"P63020","nfuA",27.6091,26.5764,28.3937,27.5446,28.0098,27.4517,26.1381,26.8134,26.6878,26.9738,27.1317,26.8215,26.397,26.612,27.1518
"P63224","gmhA",31.3472,31.1335,30.8722,31.0858,31.029,31.3074,30.7839,31.1817,31.3256,30.5592,30.6279,30.9077,30.9067,30.8383,31.3345
"P63228","gmhB",26.8866,27.0976,27.0665,27.004,27.0238,27.7023,27.5055,26.9833,27.4687,27.2786,27.8133,27.498,26.9862,27.3416,27.3355
"P63235","gadC",24.7663,25.1481,24.8575,24.4615,25.0723,24.9697,24.181,24.362,24.6611,23.7187,24.5084,25.6049,24.7657,25.3443,25.7409
"P63284","clpB",32.1583,32.0772,31.9642,32.0341,32.0504,31.6517,32.0142,31.9528,31.5664,30.7748,31.3982,31.0071,32.1054,32.0392,32.0998
"P63417","yhbS",28.978,29.1963,28.123,29.0252,28.4149,29.2405,29.0812,29.0609,29.5407,28.5459,28.884,28.336,28.8238,28.0714,28.5801
"P64455","ydcY",24.0205,24.3446,23.3116,26.1098,23.8606,24.3305,27.9445,27.4731,26.4993,27.3962,27.3623,25.4577,25.2809,24.2099,26.1026
"P64503","yebV",26.1707,26.2072,27.0749,26.7061,27.1201,26.4231,26.8927,26.4459,26.5606,23.7635,26.7354,24.0704,25.5271,27.1177,27.6151
"P64506","yebY",24.4212,24.9066,25.9625,26.566,26.5453,26.2772,25.7479,26.5385,25.7903,24.716,25.5223,24.0952,24.5827,25.1275,25.5066
